facility_uid,start_date,facility_name,state,lga,ownership,ownership_type,facility_level,physical_location,longitude,latitude,phone_number,operation_days,registration_status,license_status
78463648,1996-12-04,SANTA MARIA HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"8, SANTA MARIA STREET, ISUTI, EGAN",3.26819,6.54032,0703-096-2871,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
13955286,1998-01-01,VINTAGE HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"53,ISUTI ROAD EGAN",3.22654,6.55186,0802-314-5023,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
81523802,2008-03-04,AGODO PRIMARTY HEALTH CENTER,Lagos,Alimosho,Public,Local Government,Primary,"ADEYINKA STREET, AGODO MARKET",3.27947,6.5321,0802-317-4385,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
33907348,2012-01-01,MOUNT SINAI HOSPITAL AND MATERNITY,Lagos,Alimosho,Private,For Profit,Primary,"105, ISOLO ROAD, HOSPITAL BUS STOP , IKOTUN EGBE",3.28174,6.54192,0808-406-8086,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
26867875,2002-03-06,OOH-BEE HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"1, KUDAKI ROAD, HOTEL BUS STOP, EGBE",3.28051,6.54107,0802-313-8906,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
57333695,2009-01-02,PRECIOUS GIFT CLINIC AND MATERNITY HOME,Lagos,Alimosho,Private,For Profit,Primary,"1B ISOLO ROAD, CELE BUS STOP EGBE",3.27907,6.5396,0080-334-7284,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
54354540,2016-07-09,SUMMERSTONE SPECIALIST HOSPITAL AND TRAUMA CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"45B, AUTHORITY AVENUE, OFF IKOTUN-EGBE ROAD, EGBE",3.27736,6.54291,0815-703-3820,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
61190049,2015-02-02,AYIS HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"3, SODIQ CLOSE, OFF ONILEWURA, LIASU",3.27701,6.55102,0803-302-6411,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
22632143,2012-01-01,BISSALAM HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"4, MODUPE SHITA STREET, LIASU EGBE",3.2792,6.5546,0805-353-2667,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
34313859,2008-08-09,BLUE SEA HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"111, LIASU ROAD, EGBE",3.27992,6.55855,0805-416-3202,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
56724041,1998-01-01,EMIS MATERNITY HOME,Lagos,Alimosho,Private,For Profit,Primary,,3.277921632,6.551406381,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Unknown,Unknown
67278138,2019-03-15,HALLELUYAH HEALTHSOLUTION HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,KOLAWOLE SHONIBARE STREET EGBE LIASU,3.28083,6.55387,0803-426-8948,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
17731780,2011-01-05,MOTHER THERESA MEDICAL CENTER,Lagos,Alimosho,Private,For Profit,Primary,"107, LIASU ROAD, IDIMU",3.28066,6.55906,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
