facility_uid,facility_code,state_unique_id,registration_no,start_date,facility_name,state,lga,ownership,ownership_type,facility_level,facility_level_option,physical_location,longitude,latitude,phone_number,email_address,website,ooperational_days,operational_hours,operation_status,registration_status,license_status,doctors,nurses,midwives,beds
,,,,,,,,,,,,,,,,,,,,,,,,,,
51951895,24/01/1/1/2/0003,24011020002,,1987-12-01,Adu Medical Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 23,AGUNBIADE STREET OKE KOTO AGEGE",3.31993,6.62493,0802-774-4780,allibaba79@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,1,5
30605129,24/01/1/1/2/0011,2401120005,,2004-01-01,Habibat Memorial Convalescent Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 5,AYENI STREET ALFA NLA AGEGE",3.30455,6.6343,0803-404-7406,,,"Monday,Tuesday,Wednesday,Thursday,Friday",24HRS,Operational,Registered,Licensed,2,,,6
30710800,24/01/1/1/1/0068,2401120078,,1989-09-03,May-Fair Medical Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,NO30/32 ADENLE ST AWORI ONIWAYA AGEGE,3.31878,6.62287,0802-330-6711,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,,2,15
25250613,24/01/1/2/2/0001,,,,Al-Imaan Hospital And Maternity Home,Lagos,Agege,Private,,Secondary,,,3.30969000000005,6.62283000000002,,,,,,Operational,Unknown,Unknown,,,,
21456488,24/01/1/2/2/0030,2401120079,,2017-01-11,Bolasad Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 26, DOPEMU ROAD AGEGE LAGOS",3.31288,6.62236,0803-401-3522,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,3,,5
72877733,24/01/1/2/2/0024,2401110025,,2003-08-03,Dopemu Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"NO6,AIYEGBEMI STREET",3.31394,6.61193,0802-309-0754,,,"Monday,Tuesday,Wednesday,Thursday,Friday",18HRS,Operational,Registered,Licensed,,,,8
81233574,24/01/1/2/2/0007,2401120057,,2013-01-01,Glorious Favour Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO17,KADRI STREET OFF ONIWAYA ROAD AGEGE",3.31763,6.61494,0803-568-5403,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,6
86530408,24/01/1/2/2/0008,2401120080,,1991-02-03,Hamfar Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO3,DOPEMU ROAD OPP SWPHA PHARM ROUNDABOUT LAGOST",3.31067,6.61014,0703-760-7624,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,1,,6
38579933,24/01/1/2/2/0010,2401120081,,2015-01-02,Keeb Ideal Surgical Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO2,ADEBISI AWOSOGA STREET DOPEMU AGEGE",3.33097,6.61771,0703-420-3506,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,5
